---------- processing video for epoch 6 ----------
performing inference...
pred: 10.07 deg. took: 62.13 ms | cam=2.00 prep=3.10 pred=57.03 frequency(45)=1200000000
 
pred: 2.54 deg. took: 62.20 ms | cam=1.97 prep=3.15 pred=57.08 frequency(45)=1200000000
 
pred: 2.18 deg. took: 62.55 ms | cam=1.94 prep=3.11 pred=57.50 frequency(45)=1200000000
 
pred: 3.04 deg. took: 62.60 ms | cam=2.05 prep=3.07 pred=57.48 frequency(45)=1200000000
 
pred: 2.81 deg. took: 62.39 ms | cam=2.00 prep=3.01 pred=57.38 frequency(45)=1200000000
 
pred: 2.60 deg. took: 62.68 ms | cam=1.98 prep=3.06 pred=57.64 frequency(45)=1200000000
 
pred: 2.99 deg. took: 62.48 ms | cam=2.00 prep=3.01 pred=57.47 frequency(45)=1200000000
 
pred: 2.89 deg. took: 62.07 ms | cam=1.98 prep=3.15 pred=56.94 frequency(45)=1200000000
 
pred: 3.07 deg. took: 62.74 ms | cam=2.05 prep=3.13 pred=57.56 frequency(45)=1200000000
 
pred: 3.60 deg. took: 62.24 ms | cam=2.07 prep=3.02 pred=57.16 frequency(45)=1200000000
 
pred: 7.33 deg. took: 62.02 ms | cam=2.01 prep=3.05 pred=56.96 frequency(45)=1200000000
 
pred: 13.48 deg. took: 62.12 ms | cam=2.02 prep=3.02 pred=57.08 frequency(45)=1200000000
 
pred: 7.07 deg. took: 62.28 ms | cam=1.98 prep=3.06 pred=57.24 frequency(45)=1200002000
 
pred: 4.92 deg. took: 62.32 ms | cam=2.01 prep=3.02 pred=57.29 frequency(45)=1200000000
 
pred: 4.88 deg. took: 62.39 ms | cam=2.08 prep=3.14 pred=57.17 frequency(45)=1200000000
 
pred: 6.43 deg. took: 62.00 ms | cam=2.06 prep=3.11 pred=56.83 frequency(45)=1200000000
 
pred: 21.53 deg. took: 62.43 ms | cam=2.09 prep=3.01 pred=57.33 frequency(45)=1200002000
 
pred: 23.64 deg. took: 62.32 ms | cam=1.95 prep=3.06 pred=57.31 frequency(45)=1200000000
 
pred: 21.81 deg. took: 62.31 ms | cam=1.98 prep=3.02 pred=57.30 frequency(45)=1200000000
 
pred: 25.57 deg. took: 62.46 ms | cam=1.99 prep=3.06 pred=57.41 frequency(45)=1200000000
 
pred: 23.21 deg. took: 62.71 ms | cam=2.05 prep=3.02 pred=57.64 frequency(45)=1200000000
 
pred: 18.12 deg. took: 62.76 ms | cam=2.00 prep=3.15 pred=57.61 frequency(45)=1200000000
 
pred: 3.73 deg. took: 62.49 ms | cam=2.20 prep=3.00 pred=57.29 frequency(45)=1200000000
 
pred: 4.58 deg. took: 62.46 ms | cam=1.95 prep=3.06 pred=57.46 frequency(45)=1200002000
 
